index,tree_name,Blue_HOMOGENEITY_median,Wideband_Red_MEAN_I_median,Wideband_Green_MEAN_I_median,Wideband_Red_MEAN_I_75th,Red_MEAN_I_75th,Red_MEAN_I_median,Wideband_Green_MEAN_I_75th,Wideband_Red_MEAN_I_25th,NIR_HOMOGENEITY_75th,Wideband_Blue_NONE_75th,RedEdge_MEAN_I_median,r_raw_mean,g_raw_mean,b_raw_mean,r_glcm_mean,g_glcm_mean,b_glcm_mean,id_based_on_tree_name
20,Alstonia Angulstiloba,0.129150390625,0.8997992644673457,0.1125792610767351,0.3085507597939553,0.1297607421875,0.340576171875,0.6693283237288022,0.3094197174523606,0.1094970703125,0.1295773884813397,0.6767578125,202.35467663240945,227.46169417626908,75.5212187272916,11.702056884765623,11.702056884765623,11.702056884765623,0
21,Claoxylon Indicum,0.09515380859375,0.7656087225273467,0.0979296039929878,0.2593444248246641,0.11346435546875,0.27685546875,0.6739857195550158,0.259235129645097,0.0789794921875,0.0966087209613107,0.6767578125,167.803323217564,196.1312240080926,68.04621407965232,6.473114013671875,6.473114013671875,6.473114013671875,5
22,Bridelia Sp.,0.0953369140625,0.7356761552277161,0.1008518092295512,0.3160539769293134,0.12017822265625,0.336669921875,0.6773468501984127,0.3168332437141523,0.074951171875,0.0994133765465007,0.68115234375,177.2972950633356,188.86791478106332,78.89324902361912,5.8658447265625,5.8658447265625,5.8658447265625,1
23,Pometia Pinnata,0.11688232421875,0.8209119325506133,0.1073718963371273,0.1745232247912878,0.132568359375,0.1905517578125,0.759191051753148,0.1743683510638297,0.0893402099609375,0.1159779527525874,0.75244140625,183.7780349147256,206.69351511797555,47.88383558887156,2.400634765625,2.400634765625,2.400634765625,13
24,Sterculia Parviflora,0.085205078125,0.8074880040677866,0.081708112157377,0.2685056127103647,0.0943145751953125,0.3095703125,0.5993926543042176,0.2821806714050752,0.0670623779296875,0.0838744694128968,0.60009765625,178.09410031912282,203.87398739873987,65.13501350135013,1.4715576171875,1.4715576171875,1.4715576171875,17
25,Calophyllum,0.10784912109375,0.8697653218542128,0.0882677527947154,0.4574195653178122,0.10614013671875,0.486572265625,0.4914050951589061,0.4676326912416851,0.081787109375,0.1102536716729028,0.501953125,207.9284436493739,213.3385509838998,102.83422778771616,0.80389404296875,0.80389404296875,0.80389404296875,2
26,Pennisetum Purpureum,0.110595703125,0.7476237199510191,0.1355417210272503,0.348932896509641,0.157958984375,0.376953125,0.6675629763826997,0.3483462484017749,0.09124755859375,0.1145774990499521,0.6708984375,164.4606625258799,189.09095564999456,88.65108423231993,11.146881103515623,11.146881103515623,11.146881103515623,12
27,Sterculia Parviflora,0.10272216796875,0.8460563753858025,0.1200403284143518,0.3394941165123457,0.1671142578125,0.358642578125,0.662833236882716,0.3347588734567901,0.08148193359375,0.1127118974850501,0.65966796875,218.1253086419753,216.0211111111111,88.72037037037038,0.97235107421875,0.97235107421875,0.97235107421875,17
28,Campnosperma Auriculatum,0.060882568359375,0.7903064359895565,0.0664384284740495,0.489893366948262,0.07763671875,0.53759765625,0.4857162113881896,0.4892509962848275,0.04736328125,0.0626242944795356,0.478271484375,187.48688533545604,201.25318599333536,124.68652791109656,31.185211181640625,31.185211181640625,31.185211181640625,3
29,Leea Indica,0.09210205078125,0.8963681821469908,0.0808960324242001,0.2984626568183697,0.096923828125,0.32958984375,0.5395716752955523,0.290639984292328,0.0711669921875,0.0931145259312221,0.54345703125,222.06537598204264,231.48860830527497,78.52328843995511,2.150360107421875,2.150360107421875,2.150360107421875,11
30,Dillenia Suffruticosa,0.07098388671875,0.762468998015873,0.0650582691979786,0.1866543966626364,0.0738525390625,0.214385986328125,0.6170668829055059,0.2019500248015873,0.0602035522460937,0.0719163198319692,0.6376953125,164.25192519251925,190.5678767876788,46.604620462046206,1.092193603515625,1.092193603515625,1.092193603515625,8
31,Sterculia Parviflora,0.11932373046875,0.8062257587984173,0.1041906357605921,0.3128248768416805,0.12744140625,0.3330078125,0.5937186054069268,0.3121876301541024,0.09228515625,0.1229485317549572,0.59765625,184.09482126265345,204.31189789231743,80.81710597095213,2.4700927734375,2.4700927734375,2.4700927734375,17
32,Ficus Variegata,0.079010009765625,0.8751044711708236,0.0632360819452846,0.3944133489249381,0.07281494140625,0.429931640625,0.5077549056270633,0.3934458223558913,0.065673828125,0.0808277853011116,0.50634765625,208.04034222965765,222.44497715100547,99.73476078730786,10.81488037109375,10.81488037109375,10.81488037109375,10
33,Spathodea Campanulatum,0.07342529296875,0.8288873400853259,0.079026676778624,0.4647341511839835,0.093994140625,0.52685546875,0.504878283323794,0.4632431461911178,0.056854248046875,0.0763451487750658,0.501953125,199.8304179165613,211.7603093714988,117.5939499078391,20.190826416015625,20.190826416015625,20.190826416015625,16
